CityCode,PinYin,Name,spring_pres,summer_pres,autumn_pres,winter_pres,spring,summer,autumn,winter,waterVaporDensity
110000,beijing,北京,98.79,97.94,99.33,99.92,13.45,24.92,11.36,-3.42,0
110100,dongcheng,东城,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
110200,xicheng,西城,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
110500,beijingchaoyang,朝阳,98.79,97.94,99.33,99.92,13.45,24.92,11.36,-3.42,0
110600,fengtai,丰台,98.79,97.94,99.33,99.92,13.45,24.92,11.36,-3.42,0
110700,shijingshan,石景山,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
110800,haidian,海淀,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
110900,mentougou,门头沟,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
111100,fangshan,房山,101.16,100.14,101.71,102.5,14.67,25.98,13.09,-1.93,0
111200,tongzhou,通州,100.76,99.8,101.31,102.03,14.67,25.98,13.09,-1.93,0
111300,shunyi,顺义,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
111400,changpin,昌平,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
111500,daxin,大兴,98.79,97.94,99.33,99.92,14.67,25.98,13.09,-1.93,0
111600,huairou,怀柔,98.79,97.94,99.33,99.92,13.45,24.92,11.36,-3.42,0
111700,pinggu,平谷,100.76,99.8,101.31,102.03,14.67,25.98,13.09,-1.93,0
111800,miyun,密云,97.28,96.52,97.82,98.31,14.67,25.98,13.09,-1.93,0
111900,yanqing,延庆,90.51,90.03,91.02,91.15,12.56,23.77,10.63,-4.3,0
120000,tianjin,天津,101.43,100.42,101.96,102.73,14.59,26.35,13.56,-1.12,1
120200,hedong,河东,101.46,100.45,101.97,102.73,15.3,26.6,14.41,-0.51,1
120300,hexi,河西,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
120400,nankai,南开,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
120500,hebei,河北,101.46,100.45,101.97,102.73,15.3,26.6,14.41,-0.51,1
120600,hongqiao,红桥,101.47,100.43,101.99,102.78,15.3,26.6,14.41,-0.51,1
121000,dongli,东丽,101.46,100.45,101.97,102.73,15.3,26.6,14.41,-0.51,1
121100,xiqing,西青,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
121200,jinnan,津南,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
121300,beichen,北辰,101.46,100.45,101.97,102.73,15.3,26.6,14.41,-0.51,1
121400,wuqing,武清,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
121500,baidi,宝坻,100.42,99.49,100.96,101.65,14.67,25.98,13.09,-1.93,1
121600,binhai,滨海新,101.46,100.45,101.97,102.73,15.3,26.6,14.41,-0.51,1
121700,ninghe,宁河,101.37,100.38,101.88,102.64,13.64,25.63,12.43,-2.91,1
121800,jingjiang,静海,101.47,100.43,101.99,102.78,15.3,26.6,14.41,-0.51,1
121900,jizhou,蓟州,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,1
130100,shijiazhuang,石家庄,99.19,98.26,99.74,100.39,12.88,23.27,11.21,-2.35,0
130200,tangshan,唐山,101.37,100.38,101.88,102.64,13.53,25.83,12.71,-2.19,1
130300,qinhuangdao,秦皇岛,99.65,98.79,100.16,100.79,11.9,24.4,11.44,-3.69,1
130400,handan,邯郸,99.34,98.37,99.85,100.51,15.25,25.13,13.97,0.62,0
130500,xingtai,邢台,98.4,97.49,98.91,99.51,15.65,25.71,14.22,0.47,0
130600,baoding,保定,101.15,100.11,101.69,102.48,12.82,23.95,10.82,-3.44,0
130700,zhangjiakou,张家口,86.71,86.39,87.2,87.11,9.8,21.28,7.16,-7.68,0
130800,chengde,承德,94.21,93.61,94.73,95.02,10.01,22.29,7.85,-7.54,0
